FileName,ParagraphIndex,SpanishText,TranslationEnglish Google Translate,
"Scan Oct 8, 2022 (1).pdf",AARON,"De mi Señor podéis esperar todo ese afecto, todo ese cobijo que de su protección reserva a cada una de sus criaturas por igual, pues que sabéis que para Él no existen ni razas diferentes ni distingos, sólo son características mundanas que tienen su razón de ser por circunstancias sean de climas, de regiones o hasta de protección necesaria acorde al medio en donde habrán de desempeñar lo necesario y os digo esto porque tal como se os ha dicho que vosotros en especial viajaréis enormidad de distancias según las funciones o labores que os correspondan, también tendréis en un momento dado la necesidad hasta de confundiros con alguno de esos pobladores de las regiones diversas adonde vayáis y en las que en esa labor vuestra llevaréis en cada caso una encomienda específica tal como se es necesitando y se autoriza, porque no es por más que se quisiera ciertamente para remediar todo cuanto en verdad existe, pues la maldad y la tozudez se oponen y provocan retraso a veces en los resultados, por más aplicados que seáis, pero en el caso vuestro bastará como el entrenamiento verdadero de labores específicas particularmente tratándose de seres que han podido saber abrevar lo suficiente para que el Padre esté pendiente de sus cuitas, de sus necesidades más ingentes y os apremie a ayudarles de las formas que vuestro espíritu que es el guiador y es el que sabe, os mostrará lo conducente.","From my Lord you can expect all that affection, all that shelter that from His protection He reserves for each one of His creatures equally, because you know that for Him there are no different races or distinctions, they are only worldly characteristics that have their reason for being due to circumstances, be they of climates, regions or even of the necessary protection according to the environment where they will have to perform what is necessary, and I tell you this because just as it has been said to you that you especially will travel enormous distances according to the functions or tasks that you will have to perform, I tell you this because just as you have been told that you in particular will travel enormous distances according to the functions or labors that correspond to you, you will also have at a given moment the need to confuse yourselves with some of those settlers of the diverse regions where you go and in which in that labor of yours you will carry in each case a specific assignment as it is needed and authorized, because it is certainly not as much as you would like to remedy everything that really exists, because wickedness and stubbornness oppose and sometimes cause delay in the results, no matter how applied you are, but in your case it will be enough as the true training of specific tasks, particularly in the case of beings who have been able to learn to drink enough so that the Father is aware of their problems, of their greatest needs and urges you to help them in the ways that your spirit, which is the guide and is the one who knows, will show you what is appropriate.",
"Scan Jun 27, 2020.pdf",AARON,"¡Santísimo Jehová! hoy por hoy Padre Bendito y Misericordioso hemos aquí sólo un puñado de tus hijos, hemos aquí sólo una parte de tus seguidores que rescatados por Ti han sido, los que con mansedumbre se dejaron llevar en sus principios hacia cuanto no correspondía pero reconocieron a tiempo los caminos, supieron escuchar el llamado de ese Pastor Divino para así apartar de su camino cuanto fuera ofensivo, opuesto a tu mandato ¡oh mi Señor! y Tú los rescataste con tus benditos brazos. ¡Oh Jehová los encontraste y los trajiste a tu redil de nuevo! porque es así tu voluntad y tu grandeza, porque pues ha sido siempre vasta tu misericordia que no termina nunca para aquel pecador que se arrepiente, para el que desea rectificar de sus caminos que dolorosos han sido en el pecado ignominioso por cuanto pudieron ofenderte ¡oh mi Señor! ¡Fuente de Luz, de Vida y Esperanza! vuelve de nuevo a iluminar a tus criaturas, rescátales de ese fuego oprobioso, ignominioso, que pretende envolverles en el mundo y una vez más de cántas otras sé ese rescatador de tus ovejas ¡oh Guiador Bendito de las almas! sé llevando a cada uno hacia ese sitio que a cada alma y a cada uno corresponde de acuerdo a tu voluntad, a tu mandato y disuelve la vasta fuerza de tu ira sólo Señor sobre cuanto no corresponde a tus deseos, sobre cuanto lastima la bondad de tus criaturas, a cuantos has tenido ya tanta paciencia, pero ten piedad Señor de todos los que gimen, lloran en el desvalimiento, que ahora reconocen tu grandeza, que tratan de acudir a ese llamado con el amor de Dios, que han ignorado quizá de tus caminos, que han desbarrado a veces involuntariamente sólo atraídos por el canto de sirenas y por los engaños oprobios de este mundo, pero aun así tratan de rectificar de sus proyectos, de sus debilidades y son reconociendo tu potestad divina, verdadera, a cuantos reconocieron de esos caminos que los llevan a lo necesario de acuerdo al cumplimiento fiel en ello y sólo por ello ¡Jehová Bendito! vierte un rayo de luz hacia sus vidas, hacia esos seres que hoy suplican de su reconsideración y de tu gracia y vuelven anhelando la paz y la esperanza de que llegue a forjarse un mundo nuevo en sus destinos; te imploramos Señor, tan incansablemente como Tú lo requieres, la reconsideración profunda y verdadera que haga estremecer a las conciencias y levantar verdaderamente sus pupilas hacia un mundo de paz y de equilibrio.","Most Holy Jehovah! today for today Blessed and Merciful Father we have here only a handful of your children, we have here only a part of your followers who have been rescued by You, those who with meekness allowed themselves to be led in their principles towards what did not correspond but recognized in time the paths, knew how to listen to the call of that Divine Shepherd in order to put aside from their path what was offensive, opposed to your command oh my Lord! And You rescued them with Your blessed arms, O Lord, You found them and brought them back to Your fold! For thus is thy will and thy greatness, for thy mercy has always been vast and never ends for the sinner who repents, for the one who desires to rectify his ways which have been painful in ignominious sin because they have offended thee, O my Lord! Source of Light, of Life and Hope! return again to enlighten your creatures, rescue them from that opprobrious, ignominious fire, which tries to envelop them in the world and once again be that rescuer of your sheep, O Blessed Guide of souls! Be leading each one to that place that corresponds to each soul and to each one according to your will, to your command and dissolve the vast force of your wrath only Lord on what does not correspond to your desires, on what hurts the goodness of your creatures, to whom you have already had so much patience, but have pity Lord on all those who groan, who cry in helplessness, who now recognize your greatness, who try to come to that call with the love of God, who have ignored perhaps of your ways, who have sometimes unintentionally gone astray only attracted by the song of sirens and by the opprobrious deceptions of this world, but still they try to rectify of their projects, of their weaknesses and are recognizing your divine, true power, to those who recognized of those ways that lead them to what is necessary according to the faithful fulfillment in it and only for it Blessed Jehovah! Pour a ray of light into their lives, into those beings who today beg for your reconsideration and your grace and return longing for peace and the hope that a new world will be forged in their destinies; we implore you Lord, as tirelessly as you require, the deep and true reconsideration that will shake their consciences and truly raise their pupils towards a world of peace and balance.",
"Scan Jun 27, 2020.pdf",AARON,"La copa de virtud y de sabiduría sea vertida, derramada sobre tus criaturas, sea elevándose a tu bendito cielo la plegaria de amor y de esperanza, del consuelo que piden tus criaturas ¡oh Bendito Jehová! ¡oh Ser Divino Supremo Hacedor! que tu mirada santa se pose una vez más en este mundo, que sea llegado a él un solo átomo de tu sabiduría para que inicie la depuración en esas almas, en esas mentes obcecadas, empecinadas en el odio común que tiende a extenderse, a secundarse a medida que los tiempos transcurren y se es llevando a cada uno cuanto corresponde, no obstante tu labor incansable Señor por el bien de tus criaturas cunde sobre ellas un manto de iniquidad que no corresponde a tus deseos, ni a tus benditos proyectos que siempre llevan el amor consigo, que siempre llenan las almas con el bendito elíxir de sanación para todos los males, los que aquejan al espíritu impidiendo su avance, los que dejan un pesado lastre en el alma y que abriga tendencias de ignominiosa labor en la que muchos caen y ya no se levantan ¡oh Señor! bendice a tus criaturas, bendice a este mundo abigarrado, aferrado a una maldad, a una falta del comedimiento necesario para que lleve a cabo sus funciones con verdadera aptitud, la necesaria para poder ser ese luminoso y verdadero proyecto que Tú ¡oh Eterno! deseaste para todas tus criaturas ¡Sangre de Cristo! vuelve a bañar en perdón, voluntad y bienaventuranza a todo este rebaño de tus hijos, tus ovejas ahora descarriadas y vuelve a surgir, como la Fuente de Luz Bendita que Tú eres, para que renazca en este mundo avieso la aurora bendita, luminosa de paz y de grandeza.","May the cup of virtue and wisdom be poured, poured over your creatures, may the prayer of love and hope be raised to your blessed heaven, of the consolation that your creatures ask for, O Blessed Jehovah, O Supreme Divine Being Maker! may your holy gaze rest once again on this world, may a single atom of your wisdom reach it to initiate the purification in those souls, in those stubborn minds, stubborn in the common hatred that tends to spread, to second itself as time goes by and is taking to each one what corresponds, notwithstanding your tireless work Lord for the good of your creatures a mantle of iniquity that does not correspond to your desires is spreading over them, nor to your blessed projects that always carry love with them, that always fill the souls with the blessed elixir of healing for all the evils, those that afflict the spirit impeding its progress, those that leave a heavy ballast in the soul and that harbor tendencies of ignominious work in which many fall and no longer get up oh Lord! bless your creatures, bless this variegated world, clinging to an evil, to a lack of the necessary restraint to carry out its functions with true aptitude, the necessary one to be able to be that luminous and true project that You, O Eternal One, desired for all your creatures, Blood of Christ! bathe again in forgiveness, will and bliss all this flock of your children, your sheep now gone astray, and rise again, as the Source of Blessed Light that you are, so that the blessed, luminous dawn of peace and greatness may be reborn in this unkind world.",
"Scan Dec 16, 2023 (1).pdf",ABEL,"Tended siempre a retomar el camino de la evolución, no os estanquéis engolosinándoos con todo aquello que pueda distraeros en esa ruta que lleváis, porque habrá ocasiones en que lo mundano os aparte momentáneamente de lo preconcedido para vosotros, sin embargo podéis ya, sin vacilaciones, reconocer de inmediato si os estáis desviando de la ruta señalada y por lo mismo recapacitar para hacer lo conducente; no seáis entonces como el parvulillo que se obnubila y se deja llevar por cuanto no le conviene, pero le brinda placer; porque en vosotros existe ya el conocimiento del sabor verdadero que tiene ese fruto, cuando es logrado a través del esfuerzo y la razón.","Always tend to take up again the path of evolution, do not get bogged down and become obsessed with everything that may distract you from the path you are on, because there will be times when the mundane will momentarily divert you from what was preconceived for you, but you can now, without hesitation, immediately recognize if you are deviating from the indicated path and therefore reconsider to do what is appropriate; Do not then be like the infant who becomes confused and allows himself to be carried away by what does not suit him, but gives him pleasure; for you already have the knowledge of the true taste of this fruit when it is achieved through effort and reason.",
"Scan Nov 11, 2023 (1).pdf",ABEL,"En el camino vuestro soléis encontrar muchos atajos, unos os brindan aparente tranquilidad y mejoramiento en vuestra vida material, otros os ofrecen la simple satisfacción pasajera de placeres mundanos y satisfacciones materiales, pero la verdadera enseñanza se adquiere con un cerebro preparado por Dios, que demuestra que lleva aparejada la sabiduría necesaria para poder distinguir y separar unos de otros, para ir depurando el paso vuestro, las tentaciones que os acechan a raudales, pero que al mismo tiempo servirán para que aprendáis a aplicar vuestro conocimiento, que os enseña a distinguir perfectamente y con seguridad, los caminos de Dios.","On your path you usually find many shortcuts, some offer you apparent tranquility and improvement in your material life, others offer you the simple passing satisfaction of worldly pleasures and material satisfactions, but the true teaching is acquired with a brain prepared by God, which shows that it carries with it the necessary wisdom to be able to distinguish and separate one from the other, to purify your step, the temptations that lie in wait for you in abundance, but which at the same time will serve for you to learn to apply your knowledge, which teaches you to distinguish perfectly and with certainty, the ways of God.",
"Scan Nov 18, 2023 (3).pdf",ABEL,"Ceda el paso a la Aurora de Jehová, todo ese cúmulo de nubes presagiando tempestad que se cierne sobre vuestras cabezas, mortales benditos, que en un alba como hoy, os acercáis al altar de mi Padre a rendirle pleitesía, a entregarle cuanto de bueno y noble puede haber en vuestros corazones, sabedores al fin, que de todas sus enseñanzas recibidas, no podéis hacer gala sino de un escaso acervo que os reserváis para llevar a cabo lo que es menester en ese vuestro camino, lleno de cardos más que de flores decís y en verdad que razón tenéis al afirmarlo, sólo que olvidáis de cierto y en verdad, que no obstante haber recibido la semilla fértil y los utensilios de labranza para cultivarla, habéis preferido en múltiple caso ignorar de ello y dedicaros a arrajar mal suelta a vuestras funciones, dejando con ello de laborar cuanto era menester para desalo­jar las malas hierbas de vuestro camino; así, habéis dejado pasar la primavera con sus varia­das flores y el otoño cercano os ha sorprendido o bien os sorprenderá en breve con vuestras bodega­gas vacías con vuestro camino invadido de hierbas malas y sólo unas cuantas florecillas que puedan por marchitarse remedio de tanta maleza; ese es vuestro caso luchad, que aún es tiempo de ello: tratad de evadir lo que os lleva hacia rumbos equivocados ¡pedid, por Dios! la fortaleza que sois requiriendo para sacar adelante vuestra cosecha tan personal, como olvidada en arma de atender vuestros impulsos malsanos y vuestras bajas pasiones, contemplad que allí, de­trás de lo que vosotros consideraréis el caso de vuestro mundo, puede resplandecer de nuevo la au­rora de la virtud, sólo es falta voluntad para que os apliquéis a descubrirla, no os dejéis engañar por el falso orgullo de vuestra vida mundana, olvidando los valores apetecidos por Dios mismo, dejad así para otro tiempo, todo lo que represente la indolencia y la soberbia con todos los males que ellas conllevan; es tiempo aún de levantar vuestro rostro para implorar a ese Padre el perdón de vuestras acciones equívocas y reemprender con vuestra calza el sendero de Jesús.","Give way to the Dawn of Jehovah, all that cumulus of clouds foreshadowing a storm that hovers over your heads, blessed mortals, who on a dawn like today, approach the altar of my Father to pay him homage, to give him all that is good and noble in your hearts, knowing at last, that of all his teachings received, you can only boast of a meager collection that you reserve to carry out what is necessary on your path, full of thistles rather than flowers, you say, and in truth you are right in affirming it, only that you forget in truth and in truth, that although you have received the fertile seed and the tools of tillage to cultivate it, you have preferred in multiple cases to ignore it and to dedicate yourselves to root your functions badly, leaving with it to work as much as was necessary to dislodge the weeds from your path; Thus, you have let pass the spring with its varied flowers and the near autumn has surprised you or it will surprise you soon with your empty cellars with your way invaded of bad weeds and only a few little flowers that can for withering remedy of so many weeds; that is your case, fight, that it is still time for it: try to evade what leads you in the wrong direction; ask, for God's sake!, for the fortitude you need to carry forward your personal harvest, as if forgotten in the weapon of your unhealthy impulses and your low passions, contemplate that there, behind what you will consider the case of your world, the dawn of virtue can shine again, You only need the will to apply yourselves to discover it, do not let yourselves be deceived by the false pride of your worldly life, forgetting the values desired by God Himself, so leave for another time, everything that represents indolence and pride with all the evils that they entail; it is still time to lift up your face to implore the Father for forgiveness of your wrong actions and to take up again with your shoes the path of Jesus.",
"Scan Oct 21, 2023.pdf",ABEL,"Brille el sol de nuevo para todas las criaturas del Señor, brille el sol y desaparezcan las sombras de una noche interminable para los desamparados, para los que sienten en su angustia, que son privados de la mínima esperanza que alienta a las criaturas del Señor y en ello estriba este preludio de mansedumbre; puesto que sois para Él todos alabanzas, redención de fe y estremecimiento del alma para configurar en Él la imagen de la esperanza, el cálido apoyo que necesita vuestro corazón y confianza en su piedad; en su misericordia obra que a pesar de esas aguas turbulentas que ahora os envuelven en su propio sentido, no puedan arrasar lo más valioso que tenéis consigo, vuestro propio espíritu que llevado al mar de vicisitudes, pueda sostener ese timón bendito de su fe en un Creador, que os demuestra que aquí en vuestro mundo es necesario limpiar las impudicias, pero que aún así, donde Él se encuentra pastoreando su rebaño, os aguarda la calma y el perdón cuando volváis inmaculados.","Let the sun shine again for all the creatures of the Lord, let the sun shine and the shadows of an endless night disappear for the helpless, for those who feel in their anguish, who are deprived of the minimum hope that encourages the creatures of the Lord and in this lies this prelude of meekness; since you are all praises for Him, redemption of faith and trembling of the soul to configure in Him the image of hope, the warm support that your heart needs and trust in His mercy; In His mercy He works that in spite of those turbulent waters that now envelop you in their own sense, they may not sweep away the most valuable thing you have with you, your own spirit that, carried by the sea of vicissitudes, may hold that blessed rudder of your faith in a Creator, who shows you that here in your world it is necessary to cleanse the impudences, but that even so, where He is shepherding His flock, calm and forgiveness awaits you when you return immaculate.",
"Scan Sep 2, 2023.pdf",ABEL,"La grandeza de mi Padre está con vosotros, amadísimos hermanos y os sea envolviendo para entregaros así cuanto es menester en vuestra labor cotidiana, en vuestros andares por ese mundo, ese mundo bendito que no demagaráis en tanto la fuerza de mi Padre con ansia, tampoco debéis conlayar ese arrojo, ese apego que vosotros mismos lleváis para cumplir lo que es menester en el camino, ese camino vuestro tan simbólico a veces que lo mismo os brinda las mieles del placer, como os llueve hasta abismos tan oscuro, donde os sentís en oprobio sumidos en dolor y hasta la desesperanza continua, y os repito, no dejéis a un lado vuestra voluntad firme y sólida como una roca, pues a modo de ella, tenéis que resistir el embate de los vendavales que os acechan y el fragor de las tempestades que encontraréis a vuestro paso y en ello no debéis sino empeñaros en seguir firmemente por esa ruta, la de nuestro Mentor, lo de vuestro Mentor que os enseñará la senda, que os llevará de la mano como antaño y ahora nuevamente os estará mostrando ese sendero, el de la salvación, el camino límpido de la absolución de cuanta iniquidad os rodea, la luz que de frente os envío, sus destellos luminosos para que aun los más invídiosos puedan apreciar de ella y si vosotros continuáis en esa ruta, en ese trayecto que cada vez se acorta más en el tiempo vuestro, podréis llegar gozosos, llenos de la riqueza de vuestro espíritu, triunfantes y plenos, al encuentro con Dios.","The greatness of my Father is with you, dearest brothers and sisters, and He is enveloping you in order to give you all that is necessary in your daily work, in your wanderings through this world, this blessed world that you will not demagogue as long as the strength of my Father with eagerness, neither should you ignore that courage, that attachment that you yourselves carry to fulfill what is necessary on the way, that path of yours, so symbolic at times, which at the same time offers you the sweetness of pleasure, as it rains you down to such dark abysses, where you feel in opprobrium, submerged in pain and even continuous despair, and I repeat, do not leave aside your will firm and solid as a rock, because, like it, you have to resist the onslaught of the onslaught of the will, you have to resist the onslaught of the gales that stalk you and the tempests that you will find in your path and in this you must not but insist on firmly following that path, that of our Mentor, that of your Mentor who will teach you the path, who will take you by the hand as in the past and now again will be showing you that path, the path of salvation, the limpid path of absolution from all the iniquity that surrounds you, the light that I send you, its luminous sparkles so that even the most invidious can appreciate it and if you continue on that route, on that path that is becoming shorter and shorter in your time, you will be able to arrive joyful, full of the richness of your spirit, triumphant and full, to the encounter with God.",
"Scan Sep 30, 2023.pdf",ABEL,"En las montañas, en los valles más desolados, también se puede amar a Dios; aun cuando las fuerzas de la naturaleza nos beatan rudamente, es posible elevar el cántico del alma, que siendo entunecida por el frío inclemente conserva su calor, el fuego perenne de esa lámpara votiva que es la fe, esa fe que os alimenta y os retrae de todos los acontecimientos por insólitos que os parezcan, para refugiaros en ella, para consolidaros en ella también, formando un todo indestructible que elevando la potencia de vuestro espíritu, os permite elevar vuestra oración, vuestro cántico de alabanza a ese Creador Universal, Padre de todas las criaturas y Hacedor de esa maravilla universal que contempláis; Arquitecto le llaméis y ciertamente, por la perfección creada, por la exactitud de cada elemento inmerso en ella, debéis contemplarle así; mas no olvidéis que de todo ese conjunto maravilloso, en ese único, inmarcesible techo de estrellas que os ha brindado, la joya más valiosa de su creación, es vuestro propio espíritu.","In the mountains, in the most desolate valleys, it is also possible to love God; Even when the forces of nature beat us rudely, it is possible to raise the song of the soul, which, being dulled by the inclement cold, preserves its warmth, the perennial fire of that votive lamp which is faith, that faith which nourishes you and withdraws you from all events, no matter how unusual they may seem to you, to take refuge in it, to consolidate yourselves in it too, forming an indestructible whole which, raising the power of your spirit, allows you to raise your prayer, your song of praise to that Universal Creator, Father of all creatures and Maker of that universal marvel that you contemplate; Architect you may call him, and certainly, because of the perfection created, because of the accuracy of each element immersed in it, you should contemplate him as such; but do not forget that of all that marvelous ensemble, in that unique, unfading ceiling of stars that he has given you, the most valuable jewel of his creation is your own spirit.",
"Scan Sep 30, 2023.pdf",ABEL,"Aquietad vuestro espíritu y con la mansedumbre de la oveja, aprended a recibir de los dones de Dios, aprended a profundizar vuestros pensamientos en la cuantía de la gracia recibida por ese Dios que os contempla con ternura y en la profunda calidez de vuestra alma, profesadle con amor de vuestra entrega, como al paño bendito que enjugar las lágrimas pueda, a la vez que sois partícipes de la gracia que otorga el Señor.","Calm your spirit and with the meekness of the sheep, learn to receive from the gifts of God, learn to deepen your thoughts in the amount of grace received by that God who contemplates you with tenderness and in the deep warmth of your soul, profess to him with love of your surrender, as the blessed cloth that wipes away the tears can, at the same time that you are sharers of the grace that the Lord bestows.",
